home_id,price,area,living_area,kitchen_area,number_of_rooms,status,furnishing_status,bathroom,floor,total_floors,built_year,address,with_makler,home_ad_link
1,109000.0,120.0,120.0,10.0,6,new,furnished,private,2,2,2020.0,Sirg‘ali,True,https://www.olx.uz/d/oz/obyavlenie/kivartira-sotiladi-sirgli-120-mk-ID3XyHk.html
2,1000.0,131.0,104.8,26.2,3,new,unfurnished,,5,10,,Olmazor,False,https://www.olx.uz/d/oz/obyavlenie/kvartira-srochna-sotiladi-131-m2-ID43cxk.html
3,180000.0,173.0,138.4,34.6,3,new,furnished,shared,8,8,,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/prodaetsya-3-komnatnaya-kvartira-173-kv-m-yakkasarajskij-rajon-tashkent-ID441vd.html
4,40000.0,33.0,21.0,12.0,1,new,unfurnished,private,1,6,2023.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/yangi-hayot-3-a-1-xonali-uy-sotiladi-ID44zsH.html
5,85000.0,400.0,360.0,80.0,7,new,unfurnished,,3,3,,Nazarbek,False,https://www.olx.uz/d/oz/obyavlenie/euro-stilda-xonadon-srochno-sotiladi-ID3ZV6i.html
6,49900.0,54.0,43.2,10.8,2,new,unfurnished,shared,4,9,2023.0,Yakkasaroy,False,https://www.olx.uz/d/oz/obyavlenie/novostrojka-zhk-eco-tower-2-4-10-ul-shota-rustaveli-goryachej-variant-ID44wVg.html
7,178000.0,107.0,85.6,21.4,4,new,furnished,,1,3,,Mirzo-Ulug‘bek,False,https://www.olx.uz/d/oz/obyavlenie/nizkaya-cenatiara-4-kom-107m2-or-inxa-voennyj-gospital-it-park-ID43PkG.html
8,235000000.0,44.0,39.0,6.0,1,new,furnished,shared,5,5,1990.0,Chirchiq,True,https://www.olx.uz/d/oz/obyavlenie/chirchiq-karvon-bozor-yonda-ID3fcR4.html
9,7500.0,39.0,30.0,10.0,1,new,unfurnished,private,3,17,2023.0,Bektemir,False,https://www.olx.uz/d/oz/obyavlenie/subsidya-ipoteka-sotuv-1-3-17-bektemir-musaffo-maskan-id-mx07-ID42ZaB.html
10,98000.0,103.0,82.4,20.6,3,new,furnished,shared,7,7,2023.0,Chilonzor,False,https://www.olx.uz/d/oz/obyavlenie/chilonzor-novostroyka-dyupleks-7-8-etaj-mansardaumumiy-103-kv-ID40t6k.html
11,27500.0,52.0,30.0,5.0,2,new,furnished,,2,5,1990.0,Ohangaron,False,https://www.olx.uz/d/oz/obyavlenie/ohangaron-tayor-2-honali-ID44tT8.html
12,8000.0,40.0,32.0,8.0,1,new,unfurnished,,3,16,,Bektemir,False,https://www.olx.uz/d/oz/obyavlenie/subsidiya-ipoteka-1-xona-ID3YRXJ.html
13,125000.0,115.0,92.0,23.0,5,new,furnished,shared,8,10,2024.0,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/5-xonali-uy-115-m2-ID44yjM.html
14,280000000.0,43.0,40.0,10.0,1,new,unfurnished,private,3,9,,To'ytepa,False,https://www.olx.uz/d/oz/obyavlenie/toshkent-viloyat-markazidan-xonadon-egasi-boling-xalol-nasiya-savdo-ID3S2Zo.html
15,42500.0,52.0,50.0,10.4,1,new,unfurnished,private,4,8,,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/furqat-plaza-1-ID417qg.html
16,512000000.0,58.0,58.0,14.0,2,new,unfurnished,,14,16,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/navastrojka-2-14-16-korobka-kvartira-okolo-roxat-metro-v-yashnobode-ID43ErX.html
17,70000.0,80.0,80.0,16.0,3,new,unfurnished,private,4,7,2020.0,Sirg‘ali,True,https://www.olx.uz/d/oz/obyavlenie/uy-sotiladi-narxi-70-000-ID3MKtX.html
18,51800.0,53.0,53.0,12.0,2,new,furnished,private,9,9,2023.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/sergeli-yangi-choshtepa-2-xona-sotiladi-ID44ve5.html
19,47000.0,65.0,52.0,10.0,2,new,unfurnished,private,11,16,2023.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/srochno-srochno-sotiladi-2-11-16-65-kvadrat-kvartira-ID3UaOF.html
20,55000.0,48.0,40.0,12.0,3,new,furnished,shared,1,5,2023.0,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/uzbum-navastroyka-dobleks-1-etaj-ID3YQF9.html
21,36000.0,30.0,24.0,5.0,1,new,unfurnished,shared,3,6,2023.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/srochna-sotiladi-sergeli-3-a-1-3-6-ID3XV3N.html
22,37500.0,70.0,43.0,5.0,2,new,furnished,shared,12,16,2022.0,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/kvartira-prodayotsya-2-x-kom-rajon-yashnabadskij-or-r-metro-dustlik-ID3WEMC.html
23,58000.0,68.0,54.4,13.6,3,new,unfurnished,private,3,16,2023.0,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/srochno-sotiladi-yashnobod-olmos-maxallada-3-3-16-ID3PwdM.html
24,20000.0,25.4,21.0,7.0,1,new,unfurnished,shared,13,18,2023.0,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/20-000-ga-1-xona-uy-ID43tKC.html
25,260000000.0,43.0,40.0,10.0,1,new,unfurnished,private,9,9,,To'ytepa,False,https://www.olx.uz/d/oz/obyavlenie/sentrda-turarjoy-majmuasi-magazinlar-30-kv-dan-200kv-gacha-sotuvda-ID3S2VL.html
26,66000.0,70.0,56.0,14.0,2,new,furnished,shared,5,7,,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/sergeli-6a-2-5-7-obshhaya-ploshhad-70-kv-m-s-mebelyu-i-texnikoj-ID390Vb.html
27,66000.0,68.0,68.0,25.0,2,new,unfurnished,shared,8,10,2023.0,Uchtepa,False,https://www.olx.uz/d/oz/obyavlenie/uchtepa-tumani-uy-sotiladi-2-8-10-eski-uy-bozir-ornida-qurilga-68-8-kv-ID43pdj.html
28,162000000.0,36.0,36.0,9.0,1,new,unfurnished,private,10,16,,Chirchiq,False,https://www.olx.uz/d/oz/obyavlenie/novostrojka-global-house-hayot-residence-ID43vOV.html
29,1016000000.0,72.0,70.0,14.4,3,new,furnished,private,1,4,2019.0,Uchtepa,True,https://www.olx.uz/d/oz/obyavlenie/kvartira-srochna-sotiladi-ID3NXse.html
30,53000.0,46.0,40.0,7.0,2,new,furnished,private,7,8,2023.0,Yunusobod,True,https://www.olx.uz/d/oz/obyavlenie/novostroyka-yunusobod-tumani-13-kvartal-megaplanet-yonida-46m2-ID3QiLk.html
31,58500.0,83.0,80.0,25.0,3,new,unfurnished,private,2,4,,Olmazor,True,https://www.olx.uz/d/oz/obyavlenie/dom-navastroyka-qoraqamish-betonka-zamona-toyhona-roparasida-ID43oZ4.html
32,185000.0,74.0,59.2,14.8,3,new,furnished,,8,11,,Yunusobod,False,https://www.olx.uz/d/oz/obyavlenie/zhk-wiston-74m2-3-8-11-svoya-orientir-akay-city-ID43qKE.html
33,57000.0,40.0,40.0,8.0,2,new,furnished,,1,3,,Yashnobod,False,https://www.olx.uz/d/oz/obyavlenie/yashnabod-tuman-2-xonali-uy-navastroyka-ID42KgQ.html
34,33500.0,64.24,51.39,12.85,2,new,unfurnished,,9,12,,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/2-xonali-uy-2026yil-1-choragida-topshiriladi-ID42RGh.html
35,80000.0,88.0,75.0,10.0,3,new,unfurnished,private,5,7,,Mirobod,False,https://www.olx.uz/d/oz/obyavlenie/3-xonali-kvartira-sotiladi-88-mkv-ID434fh.html
36,150000000.0,65.0,63.0,10.0,3,new,unfurnished,private,9,9,,To'ytepa,False,https://www.olx.uz/d/oz/obyavlenie/3-xonalik-xonadon-150-mln-som-remonti-bilan-nurafshan-tojtepa-ID41aPW.html
37,40000.0,51.0,51.0,10.2,2,new,unfurnished,,5,6,,Keles,False,https://www.olx.uz/d/oz/obyavlenie/assalomu-aleykom-hasanboyda-2-hona-kvartira-sotiladi-ID43MmS.html
38,82000.0,70.0,70.0,14.0,3,new,unfurnished,private,3,8,2023.0,Shayxontohur,False,https://www.olx.uz/d/oz/obyavlenie/prodaetsya-3-komnatnaya-kvartira-or-r-stroy-mart-ID42ZU6.html
39,54000.0,60.0,60.0,12.0,2,new,furnished,shared,1,16,,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/xonobod-residence-2xona-ipoteka-kredit-yoki-subsidiya-naqd-ID43K8W.html
40,15000.0,1.0,1.0,1.0,1,new,furnished,private,1,1,2023.0,Sirg‘ali,True,https://www.olx.uz/d/oz/obyavlenie/1-xonali-uy-srochna-sotiladi-arzonga-ID42hk5.html
41,51000.0,46.0,31.16,9.2,2,new,unfurnished,,2,7,2017.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/srochna-sotiladi-ID44kWP.html
42,35000.0,63.0,63.0,63.0,3,new,furnished,private,2,2,,Oʻrtaovul,False,https://www.olx.uz/d/oz/obyavlenie/uy-sotiladi-3-xona-remonti-zor-xamma-sharoit-bor-zangiotada-ID3JHen.html
43,43000.0,46.0,36.8,9.2,2,new,furnished,shared,6,7,2017.0,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/metro-2-bekat-sergeli-6a-1-xona-2-kilingan-46-m-mebel-texnika-ID43sqj.html
44,31000.0,26.0,20.8,5.2,1,new,unfurnished,,5,9,2022.0,Shayxontohur,True,https://www.olx.uz/d/oz/obyavlenie/1-xonalik-uy-sotiladi-ID3Z9bF.html
45,132000.0,140.0,140.0,28.0,5,new,furnished,private,8,8,,Olmazor,False,https://www.olx.uz/d/oz/obyavlenie/novastroyka-sagbon-baurum-domlari-ID444LR.html
46,46900.0,54.0,43.2,10.8,2,new,furnished,private,8,16,,Sirg‘ali,False,https://www.olx.uz/d/oz/obyavlenie/sergeli-yangidarxonda-2-8-16-sotiladi-ID3Kvjd.html
47,23000.0,1.0,28.0,10.0,1,new,unfurnished,private,3,9,2023.0,Chirchiq,False,https://www.olx.uz/d/oz/obyavlenie/1xonali-uy-chirchikta-sotiladi-ID3Q9zK.html
48,1000.0,131.0,104.8,26.2,3,new,unfurnished,,5,10,,Olmazor,False,https://www.olx.uz/d/oz/obyavlenie/kvartira-srochna-sotiladi-131-m2-ID43cxk.html
